Date,Narration,Ref,Withdrawal,Deposit,Balance
01/08/2022,UPI/CR/3711223317/NAVEEN KUMAR/KKBK0283526/naveen484@oksbi,TXN0273534,,24000.00,283527.50
01/08/2022,UPI/DR/0308714832/RESHMA KHAN/KKBK0283526/reshma657@okhdfc,TXN0273535,999.00,,282528.50
02/08/2022,UPI/DR/23166851/KIRAN REDDY/KKBK0283526/kiran217@okhdfc,TXN0273536,249.00,,282279.50
02/08/2022,CHQ NO 492984 CLEARING,TXN0273537,449.00,,281830.50
02/08/2022,NEFT/039501895095/ROHIT SHARMA/KKBK0283526/85920745162970,TXN0273538,449.00,,281381.50
03/08/2022,UPI/CR/579565373562/FATIMA SHEIKH/KKBK0283526/fatima527@okaxis,TXN0273539,,11200.00,292581.50
03/08/2022,IMPS/P2P/848537662236/ANAND KUMAR/8451294685,TXN0273540,,4800.00,297381.50
03/08/2022,CHQ NO 910466 CLEARING,TXN0273541,1680.00,,295701.50
03/08/2022,CASH DEPOSIT/BRANCH COUNTER/PUNE CAMP,TXN0273542,,850.00,296551.50
04/08/2022,NEFT/10528731/FATIMA SHEIKH/KKBK0283526/80106730879527,TXN0273543,,11200.00,307751.50
04/08/2022,CASH DEPOSIT/BRANCH COUNTER/PUNE CAMP,TXN0273544,,32000.00,339751.50
04/08/2022,NEFT/238103167012/TARA SINGH/KKBK0283526/39381951171626,TXN0273545,249.00,,339502.50
05/08/2022,UPI/DR/2598606018/SUNITA DEVI/KKBK0283526/sunita156@paytm,TXN0273546,1680.00,,337822.50
05/08/2022,IMPS/P2P/598728035960/SHAHID KHAN/7669488257,TXN0273547,,18500.00,356322.50
05/08/2022,NEFT/9109829302/RAMESH PILLAI/KKBK0283526/59642989055361,TXN0273548,,24000.00,380322.50
06/08/2022,CASH DEPOSIT/BRANCH COUNTER/PUNE CAMP,TXN0273549,,1200.00,381522.50
06/08/2022,UPI/DR/8071816084/TARA SINGH/KKBK0283526/tara758@oksbi,TXN0273550,310.00,,381212.50
06/08/2022,NEFT/370280510021/BABU LAL/KKBK0283526/80258643154854,TXN0273551,,7600.00,388812.50
07/08/2022,ATM/WDL/884631978436/HDFC ATM KORAMANGALA,TXN0273552,1680.00,,387132.50
08/08/2022,ATM/WDL/524552306738/CANARA ATM MYSURU,TXN0273553,850.00,,386282.50
09/08/2022,ATM/WDL/60380344/SBI ATM JAYANAGAR BLR,TXN0273554,79.00,,386203.50
09/08/2022,UPI/DR/61553753/GANESH KUMAR/KKBK0283526/ganesh701@ybl,TXN0273555,249.00,,385954.50
09/08/2022,UPI/DR/1999997367/RAVI KUMAR SHARMA/KKBK0283526/ravi364@paytm,TXN0273556,5200.00,,380754.50
09/08/2022,ATM/WDL/35036902/CANARA ATM MYSURU,TXN0273557,1250.00,,379504.50
09/08/2022,NEFT/680457519077/TARA SINGH/KKBK0283526/79362048408666,TXN0273558,3499.00,,376005.50
09/08/2022,IMPS/P2P/1841233093/KAVYA REDDY/7199210819,TXN0273559,,850.00,376855.50
09/08/2022,NEFT/82163926/SHEELA DEVI/KKBK0283526/23491828568608,TXN0273560,,24000.00,400855.50
09/08/2022,NEFT/886952374978/PRIYA NAIR/KKBK0283526/20354210955078,TXN0273561,1680.00,,399175.50
10/08/2022,CASH DEPOSIT/BRANCH COUNTER/PUNE CAMP,TXN0273562,,2500.00,401675.50
10/08/2022,UPI/DR/729808452175/ARJUN MEHTA/KKBK0283526/arjun795@okhdfc,TXN0273563,850.00,,400825.50
11/08/2022,UPI/DR/365438204558/NAVEEN KUMAR/KKBK0283526/naveen235@ybl,TXN0273564,999.00,,399826.50
12/08/2022,ATM/WDL/1971056486/HDFC ATM KORAMANGALA,TXN0273565,5200.00,,394626.50
12/08/2022,UPI/CR/641056570453/SANTOSH KUMAR/KKBK0283526/santosh968@oksbi,TXN0273566,,18500.00,413126.50
12/08/2022,UPI/DR/183998037362/PREETHI IYER/KKBK0283526/preethi665@ybl,TXN0273567,7800.00,,405326.50
12/08/2022,UPI/DR/411882561691/BINDHU NAIR/KKBK0283526/bindhu697@okaxis,TXN0273568,7800.00,,397526.50
13/08/2022,IMPS/P2P/2719342948/TARA SINGH/9547951898,TXN0273569,,11200.00,408726.50
13/08/2022,IMPS/P2P/3719591160/LAKSHMI VENKAT/7793368207,TXN0273570,,850.00,409576.50
14/08/2022,UPI/DR/9775441675/BINDHU NAIR/KKBK0283526/bindhu533@okaxis,TXN0273571,5200.00,,404376.50
14/08/2022,NEFT/6957867561/SUSHMA RAO/KKBK0283526/68180003876926,TXN0273572,,1200.00,405576.50
