csv_file,txn_id,account_number,date,amount,pattern_type,pattern_role,is_fraud,notes
pattern_01_round_trip/rt_case_01.csv,21081385298452_000000,21081385298452,08/01/2025,61786.0,round_trip,normal_context,False,Normal recurring salary/business credit.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000001,21081385298452,09/01/2025,3790.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000002,21081385298452,12/01/2025,948.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000003,21081385298452,13/01/2025,1694.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000004,21081385298452,16/01/2025,3299.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000005,21081385298452,19/01/2025,3470.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000006,21081385298452,22/01/2025,5000.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000007,21081385298452,24/01/2025,3815.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000008,21081385298452,27/01/2025,18.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000009,21081385298452,28/01/2025,8000.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000010,21081385298452,29/01/2025,4102.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000011,21081385298452,31/01/2025,4190.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000012,21081385298452,01/02/2025,2851.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000013,21081385298452,02/02/2025,2877.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000014,21081385298452,03/02/2025,2359.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000015,21081385298452,05/02/2025,3263.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000016,21081385298452,07/02/2025,66771.0,round_trip,normal_context,False,Normal recurring salary/business credit.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000017,21081385298452,07/02/2025,2356.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000018,21081385298452,08/02/2025,1229.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000019,21081385298452,10/02/2025,11200.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000020,21081385298452,11/02/2025,118.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000021,21081385298452,12/02/2025,15000.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000022,21081385298452,12/02/2025,259883.0,round_trip,round_trip_sender,True,Round trip cycle 1: A to B.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000023,21081385298452,14/02/2025,21400.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000024,21081385298452,17/02/2025,3722.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000025,21081385298452,19/02/2025,3345.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000026,21081385298452,22/02/2025,2813.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000027,21081385298452,23/02/2025,563.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000028,21081385298452,24/02/2025,242921.5,round_trip,round_trip_receiver,True,Round trip cycle 1: C returns funds to A.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000029,21081385298452,24/02/2025,15000.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000030,21081385298452,26/02/2025,4472.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000031,21081385298452,28/02/2025,3952.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000032,21081385298452,02/03/2025,2468.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000033,21081385298452,04/03/2025,1948.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000034,21081385298452,07/03/2025,3738.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000035,21081385298452,08/03/2025,761.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000036,21081385298452,09/03/2025,229511.0,round_trip,round_trip_sender,True,Round trip cycle 2: A to B.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000037,21081385298452,11/03/2025,73998.0,round_trip,normal_context,False,Normal recurring salary/business credit.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000038,21081385298452,11/03/2025,4226.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000039,21081385298452,12/03/2025,140.0,round_trip,normal_context,False,Normal bank interest credit.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000040,21081385298452,14/03/2025,4094.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000041,21081385298452,15/03/2025,4051.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000042,21081385298452,16/03/2025,1525.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000043,21081385298452,17/03/2025,1887.0,round_trip,normal_context,False,Normal non-pattern transaction.
pattern_01_round_trip/rt_case_01.csv,21081385298452_000044,21081385298452,20/03/2025,3866.0,round_trip,normal_context,False,Normal non-pattern transaction.
